s,e,it,v,n,wr,pf,ret,dd,expo,avg
MSFT,NASDAQ,1h,E2_ST,36,41.666666666666664,1.4769235548752193,30.306898047417306,-25.646909380632298,39.3,0.9800126431483298
MSFT,NASDAQ,1h,E1_ST,62,53.225806451612904,1.0253914658467997,2.664179962693125,-40.321841954683926,66.14,0.19942070843721368
MSFT,NASDAQ,1h,ST_ONLY,92,30.434782608695652,1.1649131502705687,16.120525613949322,-28.26709531526802,52.34,0.25791810791008735
MSFT,NASDAQ,1h,E2_TIME20,48,41.666666666666664,0.9412878524839091,-3.2884253791796048,-17.70699280810276,20.16,-0.016954202714558837
MSFT,NASDAQ,1h,E2_RSI50,45,64.44444444444444,1.0503004869260648,1.3226840853433508,-11.013011009675644,11.18,0.04151922238527413
NVDA,NASDAQ,4h,E2_ST,36,58.333333333333336,3.946165935515263,591.2583892790727,-43.91138959446158,29.76,6.8907251299243635
NVDA,NASDAQ,4h,E1_ST,64,65.625,1.2799527649472755,210.52435530761718,-60.657661216949876,54.12,2.7463908060651625
NVDA,NASDAQ,4h,ST_ONLY,112,49.107142857142854,1.5211526205917032,1492.4514367335037,-56.404952856813885,56.32,3.21793374120978
NVDA,NASDAQ,4h,E2_TIME20,37,64.86486486486487,2.691722814999154,213.4868945430683,-39.33016215810476,15.54,3.579257046072621
NVDA,NASDAQ,4h,E2_RSI50,38,78.94736842105263,2.4741755383201167,75.88968558312641,-30.097757013616246,6.52,1.6332605010430201
NVDA,NASDAQ,1h,E2_ST,38,52.63157894736842,2.7915971936495256,206.50022390000967,-27.37735804298137,34.16,3.2991991616098204
NVDA,NASDAQ,1h,E1_ST,67,52.23880597014925,2.239322940651276,256.2913304921515,-28.116559462035372,60.62,2.1609083410779917
NVDA,NASDAQ,1h,ST_ONLY,96,48.958333333333336,1.4469525087489243,142.40137968172513,-34.438402086011955,56.7,1.107395661748678
NVDA,NASDAQ,1h,E2_TIME20,41,60.97560975609756,2.356875158985112,85.61192422496492,-18.38146779481924,17.12,1.6231142117430981
NVDA,NASDAQ,1h,E2_RSI50,46,76.08695652173913,3.1621686152587896,67.21752446015086,-8.707071208835583,6.9,1.1620493391245328
AMZN,NASDAQ,4h,E2_ST,33,60.60606060606061,1.5508229253237396,75.050258656843,-38.1356168955661,26.26,2.1762078961308906
AMZN,NASDAQ,4h,E1_ST,74,59.45945945945946,1.6916953359920448,279.53555106652794,-45.62214914798979,57.88,2.133476087523615
AMZN,NASDAQ,4h,ST_ONLY,114,44.73684210526316,1.2441207369297143,83.23949777859099,-50.53273257337108,56.82,0.7225674913213578
AMZN,NASDAQ,4h,E2_TIME20,37,51.351351351351354,1.2847979454366278,32.35606784915783,-30.2354281240362,15.54,1.0122525448780795
AMZN,NASDAQ,4h,E2_RSI50,39,76.92307692307692,2.0340179015269912,46.09855528421674,-16.95815378737625,5.96,1.045419297458423
AMZN,NASDAQ,1h,E2_ST,39,46.15384615384615,1.1928243265461207,12.422337239036496,-25.500099268822495,33.02,0.43231405600811756
AMZN,NASDAQ,1h,E1_ST,74,52.7027027027027,1.2242954358463787,31.952029398516313,-29.941808614480593,64.24,0.5093477303945468
AMZN,NASDAQ,1h,ST_ONLY,101,34.65346534653465,0.983110731328871,-2.4243127096533645,-29.878423333247518,53.4,0.04898231262427009
AMZN,NASDAQ,1h,E2_TIME20,45,57.77777777777778,1.12768654591814,8.004925705665599,-19.01564286851548,18.9,0.23123531873418152
AMZN,NASDAQ,1h,E2_RSI50,47,65.95744680851064,0.8291952801751677,-6.02304157807284,-18.802870498393652,8.12,-0.0989465737298296
TSLA,NASDAQ,4h,E2_ST,49,48.97959183673469,1.2645439302987305,108.25646370709809,-67.2698646508083,37.34,2.620593094773477
TSLA,NASDAQ,4h,E1_ST,73,45.205479452054796,0.9924336976255607,-5.955940794652326,-86.7816926907972,62.44,1.383664668508889
TSLA,NASDAQ,4h,ST_ONLY,108,36.111111111111114,1.3580140334136674,1286.588365688797,-47.222775232978776,52.88,3.8975330037528613
TSLA,NASDAQ,4h,E2_TIME20,53,49.056603773584904,1.1267626725289475,54.01334635825465,-67.7126146623483,22.26,1.499199196657593
TSLA,NASDAQ,4h,E2_RSI50,53,66.0377358490566,1.1868586000027106,28.239248477495348,-44.5511149182081,9.32,0.7244347531743258
TSLA,NASDAQ,1h,E2_ST,48,58.333333333333336,2.0723846579222376,223.93938419641657,-35.74625352961173,38.78,2.9718402111062097
TSLA,NASDAQ,1h,E1_ST,77,50.64935064935065,1.415845064106104,162.23867903172496,-53.3307546586439,67.84,1.7486698555165259
TSLA,NASDAQ,1h,ST_ONLY,104,30.76923076923077,0.955750899291205,-13.619400179277342,-51.73713061785521,49.4,0.14605588385127055
TSLA,NASDAQ,1h,E2_TIME20,51,58.8235294117647,3.3681547530081515,257.54332425934757,-17.199989624246115,21.42,2.6924666675761677
TSLA,NASDAQ,1h,E2_RSI50,52,76.92307692307692,2.5932672315292775,69.44312112918378,-13.728591853843808,9.44,1.0722315372054612
